model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4-0613,50.93,48.64,54.8,"(-2.29, +3.87)",354.0,2025-03-05
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-03-05
gemma-2-27b-it,49.55,47.16,52.89,"(-2.39, +3.34)",577.0,2025-03-05
gemini-1.5-pro-api-0409-preview,47.91,45.89,50.43,"(-2.02, +2.52)",478.0,2025-03-05
claude-3-haiku-20240307,47.79,44.56,51.16,"(-3.23, +3.37)",505.0,2025-03-05
mistral-large-2402,47.17,43.69,49.54,"(-3.48, +2.37)",400.0,2025-03-05
llama-3-70b-instruct,46.71,43.96,48.97,"(-2.75, +2.26)",591.0,2025-03-05
mixtral-8x22b-instruct-v0.1,45.97,42.51,48.26,"(-3.46, +2.29)",430.0,2025-03-05
aya-expanse-32b,45.08,50.0,50.0,"(--4.92, +4.92)",599.0,2025-03-05
llama-3.1-nemotron-51b-instruct,41.99,38.7,45.91,"(-3.29, +3.92)",747.0,2025-03-05
gemini-1.5-flash-api-0514,41.86,39.57,44.59,"(-2.29, +2.73)",642.0,2025-03-05
qwen1.5-72b-chat,41.76,38.95,44.45,"(-2.81, +2.69)",474.0,2025-03-05
mistral-medium,41.15,38.91,43.99,"(-2.24, +2.84)",485.0,2025-03-05
phi-3-medium-4k-instruct,40.88,37.88,43.76,"(-3.00, +2.88)",517.0,2025-03-05
mistral-next,40.61,37.84,43.28,"(-2.77, +2.67)",297.0,2025-03-05
command-r-plus,39.32,36.38,41.66,"(-2.94, +2.34)",541.0,2025-03-05
claude-2.0,38.04,34.72,40.89,"(-3.32, +2.85)",295.0,2025-03-05
claude-2.1,36.43,33.71,39.65,"(-2.72, +3.22)",290.0,2025-03-05
gpt-3.5-turbo-0613,36.36,33.81,39.17,"(-2.55, +2.81)",401.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.4-dpo_min_0.3dpo_max-length-norm-fixes_on_policy-checkpoint-1560_0.3-dare_tie,36.32,33.67,38.16,"(-2.65, +1.84)",653.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-2,36.27,33.28,39.24,"(-2.99, +2.97)",726.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,36.21,33.69,39.09,"(-2.52, +2.88)",733.0,2025-03-05
gpt-3.5-turbo-0125,35.75,33.06,38.14,"(-2.69, +2.39)",329.0,2025-03-05
phi-3-small-8k-instruct,35.72,33.54,39.51,"(-2.18, +3.79)",568.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy,35.71,33.07,37.65,"(-2.64, +1.94)",638.0,2025-03-05
gemma-2-9b-it,35.32,33.24,37.5,"(-2.08, +2.18)",541.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy-checkpoint-1560,35.11,32.73,37.67,"(-2.38, +2.56)",644.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.55-dpo_min_0.45-dare_tie,34.58,31.62,36.87,"(-2.96, +2.29)",658.0,2025-03-05
gpt-3.5-turbo-1106,33.69,30.19,36.39,"(-3.50, +2.70)",285.0,2025-03-05
dbrx-instruct-preview,33.44,30.41,35.78,"(-3.03, +2.34)",415.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,32.8,30.64,35.38,"(-2.16, +2.58)",740.0,2025-03-05
krikri-annealing-dpo-max-length-norm-dpo-fixes-length-norm-round-1-low-lr,32.75,30.12,34.58,"(-2.63, +1.83)",680.0,2025-03-05
krikri-annealing-sft-stage2-merge-dpo-max-length-norm-dpo-fixes-length-norm_0.45-dpo_min_0.55-dare_tie,32.49,29.91,37.41,"(-2.58, +4.92)",639.0,2025-03-05
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,32.24,29.57,34.44,"(-2.67, +2.20)",613.0,2025-03-05
internlm2-20b-5-chat,31.98,29.44,34.0,"(-2.54, +2.02)",576.0,2025-03-05
mixtral-8x7b-instruct-v0.1,31.46,29.03,34.68,"(-2.43, +3.22)",457.0,2025-03-05
gpt-3.5-turbo-0314,30.32,27.91,32.97,"(-2.41, +2.65)",334.0,2025-03-05
starling-lm-7b-beta,28.16,25.87,30.68,"(-2.29, +2.52)",530.0,2025-03-05
snowflake-arctic-instruct,27.09,24.06,29.75,"(-3.03, +2.66)",365.0,2025-03-05
gemini-pro,25.7,23.13,29.13,"(-2.57, +3.43)",322.0,2025-03-05
command-r,24.5,22.14,27.57,"(-2.36, +3.07)",432.0,2025-03-05
yi-34b-chat,23.49,21.43,25.88,"(-2.06, +2.39)",611.0,2025-03-05
internlm2-20b-chat,22.96,21.3,25.4,"(-1.66, +2.44)",667.0,2025-03-05
llama-3-8b-instruct,21.22,19.61,23.79,"(-1.61, +2.57)",585.0,2025-03-05
llama-3.1-8b-instruct,19.68,17.43,22.67,"(-2.25, +2.99)",861.0,2025-03-05
tulu-2-dpo-70b,19.54,17.55,22.58,"(-1.99, +3.04)",550.0,2025-03-05
starling-lm-7b-alpha,17.7,16.03,20.25,"(-1.67, +2.55)",483.0,2025-03-05
phi-3-mini-128k-instruct,17.15,15.39,19.28,"(-1.76, +2.13)",609.0,2025-03-05
mistral-7b-instruct,16.54,14.74,18.71,"(-1.80, +2.17)",541.0,2025-03-05
llama-2-70b-chat,14.67,13.0,16.5,"(-1.67, +1.83)",595.0,2025-03-05
krikri-annealing-sft-stage2-run4,13.38,10.03,16.21,"(-3.35, +2.83)",630.0,2025-03-05
vicuna-33b,12.67,11.22,14.68,"(-1.45, +2.01)",451.0,2025-03-05
gemma-1.1-7b-it,12.13,10.89,13.71,"(-1.24, +1.58)",341.0,2025-03-05
gemma-1.1-2b-it,3.64,3.0,4.48,"(-0.64, +0.84)",316.0,2025-03-05
