model,score,rating_q025,rating_q975,CI,avg_tokens,date
dbrx-instruct-preview,32.54,29.66,34.87,"(-2.88, +2.33)",415.0,2025-02-15
internlm2-20b-5-chat,30.83,28.97,32.63,"(-1.86, +1.80)",576.0,2025-02-15
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,30.8,28.65,33.47,"(-2.15, +2.67)",613.0,2025-02-15
mixtral-8x7b-instruct-v0.1,30.43,27.64,32.69,"(-2.79, +2.26)",457.0,2025-02-15
gpt-3.5-turbo-0314,29.78,27.4,32.41,"(-2.38, +2.63)",334.0,2025-02-15
starling-lm-7b-beta,26.81,24.26,29.22,"(-2.55, +2.41)",530.0,2025-02-15
snowflake-arctic-instruct,26.29,24.18,28.44,"(-2.11, +2.15)",365.0,2025-02-15
gemini-pro,25.25,23.09,27.27,"(-2.16, +2.02)",322.0,2025-02-15
command-r,23.73,21.85,26.0,"(-1.88, +2.27)",432.0,2025-02-15
snorkel-mistral-pairrm-dpo,22.59,20.43,24.27,"(-2.16, +1.68)",564.0,2025-02-15
yi-34b-chat,22.41,20.86,24.15,"(-1.55, +1.74)",611.0,2025-02-15
internlm2-20b-chat,21.81,20.06,24.11,"(-1.75, +2.30)",667.0,2025-02-15
llama-3-8b-instruct,20.28,18.1,22.31,"(-2.18, +2.03)",585.0,2025-02-15
llama-3.1-8b-instruct,18.69,16.73,20.83,"(-1.96, +2.14)",861.0,2025-02-15
tulu-2-dpo-70b,18.5,16.62,20.35,"(-1.88, +1.85)",550.0,2025-02-15
starling-lm-7b-alpha,16.84,15.19,18.92,"(-1.65, +2.08)",483.0,2025-02-15
phi-3-mini-128k-instruct,16.33,14.3,18.02,"(-2.03, +1.69)",609.0,2025-02-15
mistral-7b-instruct,15.64,13.94,17.44,"(-1.70, +1.80)",541.0,2025-02-15
llama-2-70b-chat,13.8,11.86,15.67,"(-1.94, +1.87)",595.0,2025-02-15
krikri-annealing-sft-stage2-run4,12.19,10.04,14.93,"(-2.15, +2.74)",630.0,2025-02-15
vicuna-33b,12.09,10.57,13.36,"(-1.52, +1.27)",451.0,2025-02-15
gemma-1.1-7b-it,11.73,10.11,13.22,"(-1.62, +1.49)",341.0,2025-02-15
gemma-7b-it,7.34,6.31,8.3,"(-1.03, +0.96)",378.0,2025-02-15
gemma-1.1-2b-it,3.54,2.79,4.23,"(-0.75, +0.69)",316.0,2025-02-15
gemma-2b-it,2.94,2.31,3.53,"(-0.63, +0.59)",369.0,2025-02-15
