model,score,rating_q025,rating_q975,CI,avg_tokens,date
llama-3.1-70b-instruct,55.73,53.23,58.33,"(-2.50, +2.60)",628.0,2025-02-17
glm-4-0116,55.72,52.95,58.5,"(-2.77, +2.78)",622.0,2025-02-17
gemini-1.5-pro-api-0409-preview,53.37,51.3,55.76,"(-2.07, +2.39)",478.0,2025-02-17
glm-4-air,50.88,48.11,53.21,"(-2.77, +2.33)",619.0,2025-02-17
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-02-17
gemini-1.5-flash-api-0514,49.61,47.3,51.55,"(-2.31, +1.94)",642.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes-length-norm,49.46,47.15,51.77,"(-2.31, +2.31)",733.0,2025-02-17
qwen2-72b-instruct,46.86,43.66,49.4,"(-3.20, +2.54)",515.0,2025-02-17
claude-3-sonnet-20240229,46.8,44.35,48.99,"(-2.45, +2.19)",552.0,2025-02-17
llama-3-70b-instruct,46.57,44.05,48.67,"(-2.52, +2.10)",591.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy-checkpoint-1560,45.8,43.23,48.09,"(-2.57, +2.29)",644.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-fixes_on_policy,45.79,43.3,48.28,"(-2.49, +2.49)",638.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-dpo-fixes_off_policy-length-norm,45.71,43.8,48.06,"(-1.91, +2.35)",740.0,2025-02-17
llama-3.1-nemotron-51b-instruct,45.41,43.08,47.61,"(-2.33, +2.20)",747.0,2025-02-17
gemma-2-9b-it,41.99,39.08,44.85,"(-2.91, +2.86)",541.0,2025-02-17
claude-3-haiku-20240307,41.47,39.04,43.9,"(-2.43, +2.43)",505.0,2025-02-17
krikri-annealing-sft-stage2-dpo_max-length-norm-run4,41.09,39.05,43.21,"(-2.04, +2.12)",613.0,2025-02-17
gpt-4-0613,37.9,35.52,40.03,"(-2.38, +2.13)",354.0,2025-02-17
mistral-large-2402,37.71,35.45,40.15,"(-2.26, +2.44)",400.0,2025-02-17
mixtral-8x22b-instruct-v0.1,36.36,34.11,38.37,"(-2.25, +2.01)",430.0,2025-02-17
qwen1.5-72b-chat,36.12,34.13,39.06,"(-1.99, +2.94)",474.0,2025-02-17
phi-3-medium-4k-instruct,33.37,31.3,35.31,"(-2.07, +1.94)",517.0,2025-02-17
command-r-plus,33.07,30.97,35.2,"(-2.10, +2.13)",541.0,2025-02-17
mistral-medium,31.9,30.0,34.27,"(-1.90, +2.37)",485.0,2025-02-17
internlm2-20b-5-chat,31.2,29.01,32.95,"(-2.19, +1.75)",576.0,2025-02-17
phi-3-small-8k-instruct,29.77,27.87,32.37,"(-1.90, +2.60)",568.0,2025-02-17
mistral-next,27.37,25.29,29.13,"(-2.08, +1.76)",297.0,2025-02-17
gpt-3.5-turbo-0613,24.82,22.58,26.93,"(-2.24, +2.11)",401.0,2025-02-17
dbrx-instruct-preview,24.63,22.59,26.79,"(-2.04, +2.16)",415.0,2025-02-17
internlm2-20b-chat,24.45,22.06,26.59,"(-2.39, +2.14)",667.0,2025-02-17
claude-2.0,23.99,21.98,26.2,"(-2.01, +2.21)",295.0,2025-02-17
mixtral-8x7b-instruct-v0.1,23.4,21.59,25.49,"(-1.81, +2.09)",457.0,2025-02-17
gpt-3.5-turbo-0125,23.34,21.17,25.3,"(-2.17, +1.96)",329.0,2025-02-17
yi-34b-chat,23.15,21.32,25.11,"(-1.83, +1.96)",611.0,2025-02-17
starling-lm-7b-beta,23.01,21.43,25.23,"(-1.58, +2.22)",530.0,2025-02-17
claude-2.1,22.77,20.88,24.7,"(-1.89, +1.93)",290.0,2025-02-17
llama-3.1-8b-instruct,21.34,19.32,23.22,"(-2.02, +1.88)",861.0,2025-02-17
llama-3-8b-instruct,20.56,18.26,22.47,"(-2.30, +1.91)",585.0,2025-02-17
gpt-3.5-turbo-1106,18.87,16.63,20.58,"(-2.24, +1.71)",285.0,2025-02-17
gpt-3.5-turbo-0314,18.05,16.35,20.06,"(-1.70, +2.01)",334.0,2025-02-17
gemini-pro,17.8,16.08,19.65,"(-1.72, +1.85)",322.0,2025-02-17
snowflake-arctic-instruct,17.61,15.7,19.48,"(-1.91, +1.87)",365.0,2025-02-17
command-r,17.02,15.5,18.75,"(-1.52, +1.73)",432.0,2025-02-17
phi-3-mini-128k-instruct,15.43,13.65,16.83,"(-1.78, +1.40)",609.0,2025-02-17
tulu-2-dpo-70b,14.99,13.49,16.54,"(-1.50, +1.55)",550.0,2025-02-17
starling-lm-7b-alpha,12.8,11.34,14.3,"(-1.46, +1.50)",483.0,2025-02-17
mistral-7b-instruct,12.57,11.18,13.84,"(-1.39, +1.27)",541.0,2025-02-17
gemma-1.1-7b-it,12.09,10.86,13.46,"(-1.23, +1.37)",341.0,2025-02-17
llama-2-70b-chat,11.55,10.21,12.74,"(-1.34, +1.19)",595.0,2025-02-17
krikri-annealing-sft-stage2-run4,10.06,8.37,12.08,"(-1.69, +2.02)",630.0,2025-02-17
vicuna-33b,8.63,7.55,9.79,"(-1.08, +1.16)",451.0,2025-02-17
gemma-1.1-2b-it,3.37,2.57,4.08,"(-0.80, +0.71)",316.0,2025-02-17
